variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
Age,Age,Patient age at hospitalization,Used for cohort description and patient versus surrogate comparisons,integer,years,0-120,,blank,source workbook,none,integer 0-120,Definition inferred from code,needs_review
Gender,Gender,Patient gender,Used as a categorical demographic variable,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,nonmissing preferred,Category labels inferred from source values,needs_review
BMI,Body mass index,Body mass index at baseline or admission,Used as a continuous demographic variable,float,kg/m2,positive numeric,,blank,source workbook,converted to float,numeric greater than 0,Timing inferred from code,needs_review
Ethnicity,Ethnicity,Patient ethnicity,Used as categorical demographic variable,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,valid observed label,Definition inferred from code,needs_review
Death,Death,Death outcome indicator,Used in hospitalization course table and figures,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,valid observed label,Timing not specified in code,needs_review
Oxygen Delivery,Oxygen delivery,Admission oxygen delivery modality,Used as ordered clinical course variable,categorical,,None | NC | HFNC,,blank,source workbook,converted to ordered categorical,must be one of allowed values,Definitions of NC and HFNC assumed clinical abbreviations,needs_review
Setting,Setting,Hospital setting,Admission or hospitalization location,categorical,,Acute care | ICU,,blank,source workbook,converted to ordered categorical,must be one of allowed values,Timing inferred from code,needs_review
New Discharge O2,New discharge oxygen,New oxygen requirement at discharge,Used as hospitalization outcome,categorical,,N/A | No | Yes,N = No | Y = Yes | blank = N/A,blank,source workbook,recode N/Y/blank then ordered category,must be one of allowed values,Definition inferred from code,needs_review
LOS,Length of stay,Hospital length of stay,Used as continuous hospitalization outcome,integer,days,0 or greater,,blank,source workbook,converted to integer,integer greater than or equal to 0,Definition inferred from code,needs_review
Admit,Admission date,Admission date,Used to derive days from admission to positive COVID test,date,date,valid date,,blank,source workbook,used in date difference,datetime compatible,Exact date handling inferred from code,needs_review
Date of + test,Date of positive test,Date of positive COVID test,Used to derive days after admission test positive,date,date,valid date,,blank,source workbook,used in date difference,datetime compatible,Exact date handling inferred from code,needs_review
Palliative Consult,Palliative consult,Whether palliative care was consulted,Advance-care-planning or hospitalization variable,categorical,,N | Y,,blank,source workbook,converted to ordered categorical,must be N or Y,Definition inferred from code,needs_review
CCI,Charlson comorbidity index,Comorbidity burden score,Used as continuous and descriptive variable,integer,points,0 or greater,,blank,source workbook,converted to integer,integer greater than or equal to 0,Specific CCI implementation not documented,needs_review
Prior ACP type,Prior ACP type,Type of prior advance-care-planning document or discussion,Used in advance-care-planning table,categorical,,GOC | AD | POLST | LST,,blank,source workbook,converted to ordered categorical,must be one of allowed values,Abbreviations should be reviewed,needs_review
Prior Decision Maker,Prior decision maker,Prior documented decision-maker status,Used in advance-care-planning table,categorical,,Unknown | POLST | Surrogate | Patient,N = No | Y = Yes | blank = Yes,blank,source workbook,recode N/Y/blank then ordered category,must be one of allowed values,Historical recode should be reviewed,needs_review
Date of prior ACP,Date of prior ACP,Date of prior advance-care-planning documentation,Not actively transformed but expected in workbook,date,date,valid date,,blank,source workbook,none,datetime compatible,Referenced only in comments and likely source workbook,needs_review
Prior Code status,Prior code status,Code status before hospitalization,Used in advance-care-planning table and alluvial context,categorical,,Unknown | Full code | DNR | DNR/DNI,blank = Unknown,blank,source workbook,recode blank to Unknown then ordered category,must be one of allowed values,Definition inferred from code,needs_review
Prior limitations on artificial nutrition,Prior artificial nutrition limitation,Prior documented limitation on artificial nutrition,Used in advance-care-planning table,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Prior limitations on intubation,Prior intubation limitation,Prior documented limitation on intubation,Used in advance-care-planning table,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Prior limitations of ICU transfer,Prior ICU transfer limitation,Prior documented limitation on ICU transfer,Used in advance-care-planning table and figures,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Ok for IV fluids or antibiotics,Okay for IV fluids or antibiotics,Prior documented allowance for IV fluids or antibiotics,Used in advance-care-planning table and figures,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Ok for long term nutrition or intubation,Okay for long term nutrition or intubation,Prior documented allowance for long-term nutrition or intubation,Used in advance-care-planning table and figures,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Prior Comfort care,Prior comfort care,Prior documented comfort-care preference,Used in advance-care-planning table and figures,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Hospitalization ACP,Hospitalization ACP,Advance-care-planning activity during hospitalization,Used in hospitalization and ACP summaries,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,valid observed label,Definition inferred from code,needs_review
